Text,Amount,Category
We enjoyed fast food at Chinese restaurant for $113,113,Food
I grabbed a quick bite at burger joint and paid $11 for fast food,11,Food
I got dessert and paid $125,125,Food
We had breakfast night and paid $84 with the family,84,Food
I stopped for coffee and paid $43 on my way to work,43,Food
We enjoyed quick bite at sushi bar for $94,94,Food
We had takeout night and paid $56 with the family,56,Food
I picked up some groceries and spent $106 at convenience store,106,Food
We went out for lunch and paid $80 with colleagues,80,Food
I bought snacks and paid $83 for the road trip,83,Food
I got dessert and paid $77,77,Food
I spent $12 on food shopping today,12,Food
We enjoyed fast food at steakhouse for $148,148,Food
I bought snacks and paid $15 for the road trip,15,Food
I bought snacks and paid $60 for the road trip,60,Food
I got lunch on the go and paid $102,102,Food
I had snack and paid $106 at the sandwich shop,106,Food
We had delivery night and paid $28 with the family,28,Food
I spent $81 on food for the party,81,Food
I stopped for coffee and paid $146 on my way to work,146,Food
I treated myself to snack and paid $9,9,Food
I ordered dinner delivery and paid $78 after work,78,Food
I ordered dinner delivery and paid $33 after work,33,Food
I bought snacks and paid $28 for the road trip,28,Food
I paid $127 for breakfast with friends,127,Food
I purchased ingredients and spent $53 for cooking dinner,53,Food
I had snack and paid $49 at the restaurant,49,Food
I purchased ingredients and spent $108 for cooking dinner,108,Food
We had takeout night and paid $89 with the family,89,Food
I bought lunch and paid $32 at work,32,Food
I purchased groceries for the week for $149,149,Food
I bought snacks and paid $52 for the road trip,52,Food
I grabbed breakfast from Thai place for $126,126,Food
I bought snacks and paid $147 for the road trip,147,Food
I spent $54 on food shopping today,54,Food
I treated myself to takeout and paid $31,31,Food
I ordered dinner delivery and paid $121 after work,121,Food
I treated myself to takeout and paid $64,64,Food
We enjoyed breakfast at food court for $61,61,Food
I had brunch and paid $133 at the diner,133,Food
I got dessert and paid $120,120,Food
We went out for lunch and paid $127 with colleagues,127,Food
We ordered takeout and paid $111,111,Food
I spent $60 on food shopping today,60,Food
I spent $11 on food shopping today,11,Food
We enjoyed fast food at diner for $105,105,Food
We had fast food night and paid $12 with the family,12,Food
We went out for lunch and paid $113 with colleagues,113,Food
We went out for lunch and paid $89 with colleagues,89,Food
I grabbed a quick bite at pizza place and paid $63 for fast food,63,Food
I grabbed delivery from McDonald's for $131,131,Food
We ordered takeout and paid $114,114,Food
We had takeout night and paid $49 with the family,49,Food
I purchased ingredients and spent $116 for cooking dinner,116,Food
I picked up some groceries and spent $108 at Trader Joe's,108,Food
I got quick bite on the go and paid $20,20,Food
I grabbed takeout from sandwich shop for $130,130,Food
I stopped for coffee and paid $64 on my way to work,64,Food
I grabbed meal from diner for $128,128,Food
I bought snacks and paid $108 for the road trip,108,Food
I had quick bite and paid $105 at the Mexican restaurant,105,Food
I spent $17 on food for the party,17,Food
I stopped for coffee and paid $95 on my way to work,95,Food
I purchased ingredients and spent $45 for cooking dinner,45,Food
I had takeout and paid $136 at the seafood restaurant,136,Food
I purchased groceries for the week for $87,87,Food
I spent $102 on food shopping today,102,Food
I picked up some groceries and spent $87 at convenience store,87,Food
I bought snacks and paid $5 for the road trip,5,Food
I spent $135 on food shopping today,135,Food
I grabbed breakfast from food court for $33,33,Food
I picked up some groceries and spent $130 at Costco,130,Food
I stopped for coffee and paid $28 on my way to work,28,Food
I spent $14 on food shopping today,14,Food
We went out for lunch and paid $24 with colleagues,24,Food
I stopped for coffee and paid $15 on my way to work,15,Food
I grabbed quick bite from burger joint for $66,66,Food
I spent $52 on food for the party,52,Food
I treated myself to brunch and paid $46,46,Food
I spent $91 on food for the party,91,Food
I spent $116 on food for the party,116,Food
I bought lunch and paid $142 at work,142,Food
I grabbed a quick bite at steakhouse and paid $90 for snack,90,Food
I spent $84 on food shopping today,84,Food
We enjoyed lunch at Mexican restaurant for $84,84,Food
I paid $55 for breakfast with friends,55,Food
I purchased groceries for the week for $120,120,Food
We went out for lunch and paid $140 with colleagues,140,Food
We enjoyed brunch at bbq joint for $75,75,Food
I grabbed a quick bite at coffee shop and paid $62 for meal,62,Food
I paid $33 for breakfast with friends,33,Food
I ordered dinner delivery and paid $95 after work,95,Food
I paid $13 for breakfast with friends,13,Food
I purchased groceries for the week for $58,58,Food
I got dessert and paid $108,108,Food
I grabbed quick bite from food court for $5,5,Food
I bought lunch and paid $14 at work,14,Food
We had dinner night and paid $127 with the family,127,Food
I bought snacks and paid $26 for the road trip,26,Food
I got dessert and paid $35,35,Food
I got quick bite on the go and paid $6,6,Food
I got snack on the go and paid $22,22,Food
I purchased ingredients and spent $148 for cooking dinner,148,Food
I grabbed delivery from Mexican restaurant for $35,35,Food
I got dessert and paid $136,136,Food
I picked up some groceries and spent $54 at Trader Joe's,54,Food
I purchased groceries for the week for $82,82,Food
We had dinner night and paid $101 with the family,101,Food
I bought snacks and paid $115 for the road trip,115,Food
I paid $43 for breakfast with friends,43,Food
I picked up some groceries and spent $51 at Walmart,51,Food
I got dessert and paid $37,37,Food
I paid $121 for breakfast with friends,121,Food
We ordered takeout and paid $116,116,Food
I ordered dinner delivery and paid $59 after work,59,Food
We enjoyed breakfast at food truck for $76,76,Food
We ordered takeout and paid $22,22,Food
I paid $39 for breakfast with friends,39,Food
I spent $76 on food for the party,76,Food
I spent $148 on food for the party,148,Food
I spent $39 on food shopping today,39,Food
I purchased ingredients and spent $16 for cooking dinner,16,Food
We had quick bite night and paid $45 with the family,45,Food
I treated myself to delivery and paid $66,66,Food
I bought lunch and paid $132 at work,132,Food
I purchased groceries for the week for $66,66,Food
I purchased groceries for the week for $42,42,Food
We enjoyed snack at food truck for $92,92,Food
I stopped for coffee and paid $95 on my way to work,95,Food
I got snack on the go and paid $115,115,Food
I spent $126 on food shopping today,126,Food
We ordered takeout and paid $67,67,Food
I bought snacks and paid $10 for the road trip,10,Food
We went out for lunch and paid $100 with colleagues,100,Food
I grabbed brunch from Italian restaurant for $42,42,Food
I ordered dinner delivery and paid $36 after work,36,Food
I had meal and paid $58 at the sandwich shop,58,Food
I purchased ingredients and spent $65 for cooking dinner,65,Food
I spent $76 on food shopping today,76,Food
I had takeout and paid $89 at the sandwich shop,89,Food
I paid $52 for breakfast with friends,52,Food
I spent $44 on food for the party,44,Food
We enjoyed quick bite at pizza place for $86,86,Food
I picked up some groceries and spent $136 at farmers market,136,Food
I spent $137 on food shopping today,137,Food
We had lunch night and paid $33 with the family,33,Food
I got dessert and paid $65,65,Food
I bought snacks and paid $150 for the road trip,150,Food
I purchased groceries for the week for $46,46,Food
I grabbed a quick bite at bbq joint and paid $5 for lunch,5,Food
We had takeout night and paid $59 with the family,59,Food
I stopped for coffee and paid $53 on my way to work,53,Food
We had lunch night and paid $17 with the family,17,Food
I stopped for coffee and paid $146 on my way to work,146,Food
I got meal on the go and paid $101,101,Food
I had brunch and paid $136 at the sushi bar,136,Food
I got delivery on the go and paid $31,31,Food
I bought lunch and paid $127 at work,127,Food
I got snack on the go and paid $80,80,Food
I got dessert and paid $133,133,Food
We ordered takeout and paid $131,131,Food
I purchased ingredients and spent $28 for cooking dinner,28,Food
I ordered dinner delivery and paid $71 after work,71,Food
We enjoyed fast food at diner for $61,61,Food
I grabbed snack from McDonald's for $116,116,Food
I ordered dinner delivery and paid $130 after work,130,Food
I got dessert and paid $88,88,Food
I grabbed a quick bite at McDonald's and paid $30 for brunch,30,Food
I spent $25 on food for the party,25,Food
I picked up some groceries and spent $32 at supermarket,32,Food
I paid $19 for breakfast with friends,19,Food
I paid $95 for breakfast with friends,95,Food
I stopped for coffee and paid $15 on my way to work,15,Food
I stopped for coffee and paid $129 on my way to work,129,Food
I paid $107 for breakfast with friends,107,Food
I stopped for coffee and paid $13 on my way to work,13,Food
I bought lunch and paid $133 at work,133,Food
I purchased ingredients and spent $11 for cooking dinner,11,Food
I paid $145 for breakfast with friends,145,Food
I purchased ingredients and spent $41 for cooking dinner,41,Food
I got dessert and paid $99,99,Food
I spent $78 on food shopping today,78,Food
I grabbed a quick bite at Italian restaurant and paid $139 for brunch,139,Food
I purchased ingredients and spent $12 for cooking dinner,12,Food
I purchased groceries for the week for $7,7,Food
I stopped for coffee and paid $33 on my way to work,33,Food
I purchased groceries for the week for $40,40,Food
I got meal on the go and paid $116,116,Food
I purchased ingredients and spent $116 for cooking dinner,116,Food
I got dessert and paid $91,91,Food
I paid $37 for breakfast with friends,37,Food
I bought lunch and paid $142 at work,142,Food
We enjoyed fast food at pizza place for $52,52,Food
I spent $19 on food for the party,19,Food
I grabbed a quick bite at sushi bar and paid $67 for brunch,67,Food
We went out for lunch and paid $143 with colleagues,143,Food
I got dessert and paid $146,146,Food
I got dinner on the go and paid $28,28,Food
I grabbed a quick bite at bbq joint and paid $88 for dinner,88,Food
I stopped for coffee and paid $99 on my way to work,99,Food
I grabbed meal from Italian restaurant for $147,147,Food
I picked up some groceries and spent $33 at farmers market,33,Food
I grabbed a quick bite at steakhouse and paid $123 for fast food,123,Food
I spent $61 on food shopping today,61,Food
I got dessert and paid $75,75,Food
I got dessert and paid $125,125,Food
I spent $19 on food for the party,19,Food
We went out for lunch and paid $104 with colleagues,104,Food
I purchased groceries for the week for $40,40,Food
We ordered takeout and paid $57,57,Food
We ordered takeout and paid $50,50,Food
I grabbed takeout from bakery for $137,137,Food
I purchased ingredients and spent $98 for cooking dinner,98,Food
I spent $103 on food shopping today,103,Food
I got dessert and paid $129,129,Food
I grabbed a quick bite at bakery and paid $109 for brunch,109,Food
We enjoyed dinner at Chinese restaurant for $11,11,Food
I bought lunch and paid $75 at work,75,Food
We went out for lunch and paid $117 with colleagues,117,Food
I bought lunch and paid $8 at work,8,Food
I purchased ingredients and spent $11 for cooking dinner,11,Food
I stopped for coffee and paid $41 on my way to work,41,Food
I got dessert and paid $56,56,Food
I got meal on the go and paid $18,18,Food
I picked up some groceries and spent $104 at Target,104,Food
I purchased groceries for the week for $142,142,Food
I paid $59 for breakfast with friends,59,Food
I purchased groceries for the week for $76,76,Food
I bought lunch and paid $80 at work,80,Food
I paid $88 for breakfast with friends,88,Food
I purchased ingredients and spent $82 for cooking dinner,82,Food
I spent $41 on food shopping today,41,Food
I bought lunch and paid $100 at work,100,Food
I ordered dinner delivery and paid $139 after work,139,Food
I had takeout and paid $44 at the sandwich shop,44,Food
We ordered takeout and paid $80,80,Food
I purchased groceries for the week for $100,100,Food
I treated myself to fast food and paid $73,73,Food
I stopped for coffee and paid $56 on my way to work,56,Food
I grabbed a quick bite at pizza place and paid $103 for breakfast,103,Food
I paid $72 for breakfast with friends,72,Food
I bought lunch and paid $140 at work,140,Food
I bought snacks and paid $20 for the road trip,20,Food
I bought lunch and paid $52 at work,52,Food
I had meal and paid $79 at the Mexican restaurant,79,Food
I stopped for coffee and paid $137 on my way to work,137,Food
I paid $57 for breakfast with friends,57,Food
I got dessert and paid $65,65,Food
I ordered dinner delivery and paid $30 after work,30,Food
We enjoyed takeout at Thai place for $60,60,Food
We enjoyed fast food at Mexican restaurant for $20,20,Food
I grabbed a quick bite at burger joint and paid $48 for dinner,48,Food
I paid $35 for breakfast with friends,35,Food
I treated myself to dinner and paid $23,23,Food
I spent $66 on food shopping today,66,Food
We enjoyed takeout at sushi bar for $134,134,Food
I spent $36 on food shopping today,36,Food
I bought lunch and paid $51 at work,51,Food
I spent $26 on food for the party,26,Food
I spent $65 on food shopping today,65,Food
I bought lunch and paid $37 at work,37,Food
We had breakfast night and paid $83 with the family,83,Food
I had meal and paid $56 at the bakery,56,Food
I had lunch and paid $128 at the Subway,128,Food
I grabbed a quick bite at bakery and paid $104 for dinner,104,Food
I purchased groceries for the week for $114,114,Food
I got dessert and paid $74,74,Food
I stopped for coffee and paid $13 on my way to work,13,Food
I grabbed breakfast from sandwich shop for $10,10,Food
I grabbed a quick bite at Italian restaurant and paid $137 for quick bite,137,Food
I bought lunch and paid $74 at work,74,Food
I spent $101 on food shopping today,101,Food
I grabbed a quick bite at Thai place and paid $34 for snack,34,Food
We went out for lunch and paid $110 with colleagues,110,Food
We enjoyed dinner at food court for $92,92,Food
I got dessert and paid $28,28,Food
We enjoyed takeout at seafood restaurant for $67,67,Food
We enjoyed delivery at burger joint for $101,101,Food
I spent $99 on food shopping today,99,Food
I picked up some groceries and spent $136 at Trader Joe's,136,Food
I purchased ingredients and spent $62 for cooking dinner,62,Food
I spent $34 on food for the party,34,Food
I bought lunch and paid $94 at work,94,Food
I grabbed breakfast from sushi bar for $128,128,Food
We had snack night and paid $141 with the family,141,Food
We ordered takeout and paid $113,113,Food
I grabbed snack from bbq joint for $132,132,Food
I purchased ingredients and spent $115 for cooking dinner,115,Food
I picked up some groceries and spent $86 at Trader Joe's,86,Food
I grabbed a quick bite at coffee shop and paid $52 for meal,52,Food
I picked up some groceries and spent $12 at Target,12,Food
We enjoyed lunch at food court for $83,83,Food
I bought snacks and paid $139 for the road trip,139,Food
I ordered dinner delivery and paid $27 after work,27,Food
I purchased ingredients and spent $55 for cooking dinner,55,Food
I ordered dinner delivery and paid $72 after work,72,Food
I picked up some groceries and spent $84 at supermarket,84,Food
I ordered dinner delivery and paid $96 after work,96,Food
We had quick bite night and paid $18 with the family,18,Food
We ordered takeout and paid $5,5,Food
I purchased ingredients and spent $117 for cooking dinner,117,Food
I purchased ingredients and spent $55 for cooking dinner,55,Food
I ordered dinner delivery and paid $17 after work,17,Food
I picked up some groceries and spent $48 at Whole Foods,48,Food
I ordered dinner delivery and paid $30 after work,30,Food
I purchased groceries for the week for $142,142,Food
I grabbed a quick bite at diner and paid $17 for quick bite,17,Food
I purchased groceries for the week for $82,82,Food
I purchased ingredients and spent $51 for cooking dinner,51,Food
I bought lunch and paid $51 at work,51,Food
I paid $143 for breakfast with friends,143,Food
I purchased ingredients and spent $7 for cooking dinner,7,Food
I paid $62 for breakfast with friends,62,Food
I paid $65 for breakfast with friends,65,Food
I got dessert and paid $53,53,Food
I grabbed a quick bite at bbq joint and paid $68 for fast food,68,Food
I had delivery and paid $99 at the food truck,99,Food
We enjoyed meal at McDonald's for $38,38,Food
I spent $100 on food for the party,100,Food
I spent $100 on food for the party,100,Food
I purchased ingredients and spent $84 for cooking dinner,84,Food
We went out for lunch and paid $47 with colleagues,47,Food
I spent $81 on food shopping today,81,Food
I got breakfast on the go and paid $69,69,Food
I stopped for coffee and paid $140 on my way to work,140,Food
I spent $43 on food shopping today,43,Food
I purchased ingredients and spent $124 for cooking dinner,124,Food
We had quick bite night and paid $67 with the family,67,Food
I spent $22 on food for the party,22,Food
I paid $97 for breakfast with friends,97,Food
I got dessert and paid $122,122,Food
I picked up some groceries and spent $34 at Walmart,34,Food
I ordered dinner delivery and paid $67 after work,67,Food
I bought snacks and paid $88 for the road trip,88,Food
I purchased groceries for the week for $102,102,Food
I got dessert and paid $145,145,Food
I grabbed brunch from sandwich shop for $8,8,Food
I purchased ingredients and spent $30 for cooking dinner,30,Food
I had brunch and paid $89 at the food court,89,Food
I stopped for coffee and paid $64 on my way to work,64,Food
I spent $51 on food for the party,51,Food
I treated myself to takeout and paid $28,28,Food
I purchased ingredients and spent $91 for cooking dinner,91,Food
I spent $134 on food shopping today,134,Food
I spent $45 on food shopping today,45,Food
We had dinner night and paid $149 with the family,149,Food
I ordered dinner delivery and paid $48 after work,48,Food
I spent $122 on food for the party,122,Food
I purchased ingredients and spent $145 for cooking dinner,145,Food
I stopped for coffee and paid $111 on my way to work,111,Food
I grabbed a quick bite at steakhouse and paid $45 for dinner,45,Food
I got dessert and paid $105,105,Food
I got dessert and paid $54,54,Food
I grabbed a quick bite at seafood restaurant and paid $140 for meal,140,Food
I got breakfast on the go and paid $88,88,Food
I purchased groceries for the week for $135,135,Food
I stopped for coffee and paid $24 on my way to work,24,Food
I spent $97 on food for the party,97,Food
I purchased ingredients and spent $112 for cooking dinner,112,Food
I had delivery and paid $66 at the sandwich shop,66,Food
We went out for lunch and paid $61 with colleagues,61,Food
I grabbed meal from McDonald's for $131,131,Food
I treated myself to brunch and paid $9,9,Food
I bought lunch and paid $83 at work,83,Food
I spent $83 on food shopping today,83,Food
I got takeout on the go and paid $101,101,Food
I grabbed a quick bite at coffee shop and paid $22 for quick bite,22,Food
I bought snacks and paid $12 for the road trip,12,Food
I stopped for coffee and paid $43 on my way to work,43,Food
We went out for lunch and paid $34 with colleagues,34,Food
I got delivery on the go and paid $75,75,Food
I spent $73 on food shopping today,73,Food
I stopped for coffee and paid $102 on my way to work,102,Food
I purchased groceries for the week for $13,13,Food
I treated myself to delivery and paid $145,145,Food
We enjoyed delivery at Chinese restaurant for $81,81,Food
I grabbed takeout from food court for $26,26,Food
I grabbed dinner from Thai place for $135,135,Food
We enjoyed meal at Mexican restaurant for $73,73,Food
I bought snacks and paid $93 for the road trip,93,Food
We ordered takeout and paid $12,12,Food
We had delivery night and paid $126 with the family,126,Food
I had lunch and paid $11 at the bbq joint,11,Food
I grabbed brunch from Thai place for $63,63,Food
I had delivery and paid $69 at the Subway,69,Food
I treated myself to lunch and paid $34,34,Food
I got lunch on the go and paid $141,141,Food
I spent $75 on food shopping today,75,Food
I spent $120 on food shopping today,120,Food
I got fast food on the go and paid $70,70,Food
I grabbed a quick bite at Chinese restaurant and paid $89 for snack,89,Food
I spent $33 on food shopping today,33,Food
I had fast food and paid $103 at the steakhouse,103,Food
I stopped for coffee and paid $126 on my way to work,126,Food
I got dessert and paid $71,71,Food
I stopped for coffee and paid $46 on my way to work,46,Food
I got fast food on the go and paid $70,70,Food
I picked up some groceries and spent $23 at Costco,23,Food
I got dessert and paid $92,92,Food
I purchased ingredients and spent $61 for cooking dinner,61,Food
I grabbed breakfast from bbq joint for $77,77,Food
We went out for lunch and paid $104 with colleagues,104,Food
I bought lunch and paid $93 at work,93,Food
I got dessert and paid $102,102,Food
I purchased ingredients and spent $23 for cooking dinner,23,Food
I spent $144 on food for the party,144,Food
I treated myself to quick bite and paid $48,48,Food
I got dessert and paid $33,33,Food
I grabbed delivery from McDonald's for $115,115,Food
I ordered dinner delivery and paid $113 after work,113,Food
I picked up some groceries and spent $33 at Whole Foods,33,Food
We ordered takeout and paid $113,113,Food
I spent $82 on food shopping today,82,Food
I bought snacks and paid $145 for the road trip,145,Food
I got dessert and paid $94,94,Food
I purchased groceries for the week for $133,133,Food
I had takeout and paid $19 at the bakery,19,Food
We went out for lunch and paid $95 with colleagues,95,Food
I grabbed a quick bite at burger joint and paid $56 for delivery,56,Food
I purchased groceries for the week for $112,112,Food
I spent $46 on food shopping today,46,Food
I bought lunch and paid $136 at work,136,Food
I bought snacks and paid $37 for the road trip,37,Food
I picked up some groceries and spent $142 at Target,142,Food
We went out for lunch and paid $111 with colleagues,111,Food
I grabbed a quick bite at Italian restaurant and paid $134 for quick bite,134,Food
I had dinner and paid $58 at the bakery,58,Food
We enjoyed dinner at Thai place for $29,29,Food
I grabbed a quick bite at Subway and paid $46 for snack,46,Food
I paid $43 for breakfast with friends,43,Food
I grabbed a quick bite at diner and paid $52 for breakfast,52,Food
We enjoyed lunch at Chinese restaurant for $133,133,Food
I purchased ingredients and spent $28 for cooking dinner,28,Food
I picked up some groceries and spent $89 at Costco,89,Food
I got breakfast on the go and paid $142,142,Food
I purchased groceries for the week for $123,123,Food
I grabbed fast food from seafood restaurant for $121,121,Food
I spent $150 on food for the party,150,Food
I bought snacks and paid $69 for the road trip,69,Food
I bought snacks and paid $47 for the road trip,47,Food
I purchased groceries for the week for $102,102,Food
I grabbed a quick bite at diner and paid $68 for meal,68,Food
We went out for lunch and paid $7 with colleagues,7,Food
I purchased groceries for the week for $102,102,Food
We enjoyed dinner at food court for $34,34,Food
I got dessert and paid $14,14,Food
We had brunch night and paid $87 with the family,87,Food
I grabbed fast food from food court for $32,32,Food
I bought lunch and paid $25 at work,25,Food
I spent $130 on food shopping today,130,Food
I paid $14 for breakfast with friends,14,Food
We had fast food night and paid $123 with the family,123,Food
I paid $129 for breakfast with friends,129,Food
I stopped for coffee and paid $28 on my way to work,28,Food
I ordered dinner delivery and paid $48 after work,48,Food
I spent $21 on food shopping today,21,Food
I bought snacks and paid $69 for the road trip,69,Food
We enjoyed fast food at bbq joint for $90,90,Food
I paid $25 for breakfast with friends,25,Food
We enjoyed fast food at Thai place for $14,14,Food
We ordered takeout and paid $20,20,Food
I spent $12 on food shopping today,12,Food
I grabbed a quick bite at steakhouse and paid $105 for fast food,105,Food
We ordered takeout and paid $67,67,Food
We ordered takeout and paid $139,139,Food
I picked up some groceries and spent $106 at Whole Foods,106,Food
We had fast food night and paid $30 with the family,30,Food
I ordered dinner delivery and paid $131 after work,131,Food
We enjoyed brunch at food court for $45,45,Food
I grabbed quick bite from Mexican restaurant for $21,21,Food
I bought snacks and paid $44 for the road trip,44,Food
I paid $71 for breakfast with friends,71,Food
I purchased ingredients and spent $100 for cooking dinner,100,Food
I had delivery and paid $127 at the burger joint,127,Food
I ordered dinner delivery and paid $62 after work,62,Food
I picked up some groceries and spent $57 at convenience store,57,Food
I ordered dinner delivery and paid $29 after work,29,Food
I grabbed a quick bite at bbq joint and paid $19 for quick bite,19,Food
We enjoyed quick bite at Chinese restaurant for $65,65,Food
I bought lunch and paid $51 at work,51,Food
I spent $134 on food for the party,134,Food
I spent $14 on food for the party,14,Food
I paid $5 for breakfast with friends,5,Food
We ordered takeout and paid $60,60,Food
We went out for lunch and paid $53 with colleagues,53,Food
I had takeout and paid $84 at the food court,84,Food
I got dessert and paid $117,117,Food
I ordered dinner delivery and paid $35 after work,35,Food
I bought snacks and paid $67 for the road trip,67,Food
I grabbed a quick bite at Chinese restaurant and paid $63 for snack,63,Food
We had delivery night and paid $89 with the family,89,Food
We enjoyed dinner at sandwich shop for $56,56,Food
I treated myself to meal and paid $135,135,Food
I bought lunch and paid $84 at work,84,Food
I grabbed a quick bite at pizza place and paid $60 for lunch,60,Food
I spent $128 on food for the party,128,Food
I spent $131 on food shopping today,131,Food
I got meal on the go and paid $86,86,Food
We ordered takeout and paid $144,144,Food
I ordered dinner delivery and paid $129 after work,129,Food
I got fast food on the go and paid $138,138,Food
We ordered takeout and paid $119,119,Food
I grabbed quick bite from food court for $105,105,Food
I treated myself to snack and paid $45,45,Food
I bought lunch and paid $83 at work,83,Food
I picked up some groceries and spent $69 at supermarket,69,Food
We enjoyed takeout at pizza place for $20,20,Food
We went out for lunch and paid $134 with colleagues,134,Food
I paid $81 for breakfast with friends,81,Food
I bought snacks and paid $110 for the road trip,110,Food
I bought snacks and paid $36 for the road trip,36,Food
I got dessert and paid $103,103,Food
I picked up some groceries and spent $147 at Target,147,Food
I purchased ingredients and spent $141 for cooking dinner,141,Food
I paid $110 for breakfast with friends,110,Food
I grabbed delivery from steakhouse for $49,49,Food
I grabbed a quick bite at local cafe and paid $58 for takeout,58,Food
We ordered takeout and paid $70,70,Food
I paid $65 for breakfast with friends,65,Food
I ordered dinner delivery and paid $142 after work,142,Food
I purchased groceries for the week for $74,74,Food
I got snack on the go and paid $62,62,Food
We had breakfast night and paid $141 with the family,141,Food
I stopped for coffee and paid $87 on my way to work,87,Food
I ordered dinner delivery and paid $124 after work,124,Food
I grabbed meal from Chinese restaurant for $76,76,Food
I spent $64 on food shopping today,64,Food
I got dessert and paid $100,100,Food
We enjoyed breakfast at restaurant for $98,98,Food
I ordered dinner delivery and paid $69 after work,69,Food
I purchased groceries for the week for $90,90,Food
I bought lunch and paid $114 at work,114,Food
I bought lunch and paid $66 at work,66,Food
I picked up some groceries and spent $77 at Whole Foods,77,Food
We ordered takeout and paid $83,83,Food
I got delivery on the go and paid $84,84,Food
I bought snacks and paid $72 for the road trip,72,Food
I got dessert and paid $30,30,Food
We had delivery night and paid $19 with the family,19,Food
I grabbed a quick bite at sushi bar and paid $15 for meal,15,Food
I ordered dinner delivery and paid $49 after work,49,Food
I purchased ingredients and spent $99 for cooking dinner,99,Food
We went out for lunch and paid $147 with colleagues,147,Food
I stopped for coffee and paid $92 on my way to work,92,Food
I stopped for coffee and paid $24 on my way to work,24,Food
I spent $68 on food for the party,68,Food
I got meal on the go and paid $77,77,Food
We ordered takeout and paid $30,30,Food
We had delivery night and paid $111 with the family,111,Food
I got dessert and paid $19,19,Food
I had lunch and paid $59 at the diner,59,Food
I bought snacks and paid $108 for the road trip,108,Food
I grabbed a quick bite at Subway and paid $35 for delivery,35,Food
I purchased ingredients and spent $106 for cooking dinner,106,Food
We enjoyed fast food at burger joint for $49,49,Food
I had snack and paid $123 at the food truck,123,Food
I purchased groceries for the week for $71,71,Food
I bought snacks and paid $71 for the road trip,71,Food
We went out for lunch and paid $19 with colleagues,19,Food
We had fast food night and paid $148 with the family,148,Food
I purchased groceries for the week for $109,109,Food
We enjoyed fast food at food court for $24,24,Food
I paid $86 for breakfast with friends,86,Food
We went out for lunch and paid $58 with colleagues,58,Food
I stopped for coffee and paid $130 on my way to work,130,Food
I got breakfast on the go and paid $136,136,Food
We enjoyed breakfast at seafood restaurant for $30,30,Food
I picked up some groceries and spent $53 at convenience store,53,Food
We enjoyed quick bite at restaurant for $28,28,Food
I picked up some groceries and spent $50 at Costco,50,Food
We had takeout night and paid $31 with the family,31,Food
I purchased ingredients and spent $115 for cooking dinner,115,Food
I grabbed a quick bite at bakery and paid $72 for takeout,72,Food
I ordered dinner delivery and paid $89 after work,89,Food
We enjoyed snack at food truck for $111,111,Food
I got fast food on the go and paid $58,58,Food
I grabbed snack from food truck for $31,31,Food
We enjoyed delivery at diner for $52,52,Food
I ordered dinner delivery and paid $117 after work,117,Food
I stopped for coffee and paid $111 on my way to work,111,Food
We enjoyed takeout at diner for $57,57,Food
I treated myself to fast food and paid $49,49,Food
I paid $88 for breakfast with friends,88,Food
I bought lunch and paid $81 at work,81,Food
I purchased groceries for the week for $36,36,Food
I got dessert and paid $16,16,Food
I spent $84 on food shopping today,84,Food
I got takeout on the go and paid $144,144,Food
I bought lunch and paid $70 at work,70,Food
I purchased ingredients and spent $76 for cooking dinner,76,Food
I bought lunch and paid $143 at work,143,Food
I grabbed a quick bite at food court and paid $14 for meal,14,Food
I grabbed meal from Mexican restaurant for $85,85,Food
I spent $47 on food for the party,47,Food
I picked up some groceries and spent $15 at Trader Joe's,15,Food
We went out for lunch and paid $8 with colleagues,8,Food
I stopped for coffee and paid $9 on my way to work,9,Food
I stopped for coffee and paid $53 on my way to work,53,Food
We enjoyed dinner at food court for $106,106,Food
I stopped for coffee and paid $50 on my way to work,50,Food
We had lunch night and paid $112 with the family,112,Food
We ordered takeout and paid $142,142,Food
I bought snacks and paid $90 for the road trip,90,Food
I spent $62 on food shopping today,62,Food
I spent $70 on food for the party,70,Food
We had fast food night and paid $68 with the family,68,Food
I had quick bite and paid $34 at the bakery,34,Food
I purchased groceries for the week for $121,121,Food
I bought lunch and paid $117 at work,117,Food
I bought lunch and paid $81 at work,81,Food
I got dessert and paid $29,29,Food
I paid $34 for breakfast with friends,34,Food
We ordered takeout and paid $123,123,Food
I picked up some groceries and spent $61 at farmers market,61,Food
We had fast food night and paid $50 with the family,50,Food
I got takeout on the go and paid $112,112,Food
I bought snacks and paid $64 for the road trip,64,Food
I ordered dinner delivery and paid $116 after work,116,Food
I spent $81 on food for the party,81,Food
I stopped for coffee and paid $141 on my way to work,141,Food
I got breakfast on the go and paid $73,73,Food
I had lunch and paid $21 at the Chinese restaurant,21,Food
I had snack and paid $77 at the seafood restaurant,77,Food
I had quick bite and paid $145 at the burger joint,145,Food
I had takeout and paid $42 at the coffee shop,42,Food
We went out for lunch and paid $68 with colleagues,68,Food
I had breakfast and paid $72 at the Italian restaurant,72,Food
We enjoyed brunch at Italian restaurant for $79,79,Food
We ordered takeout and paid $46,46,Food
I got dessert and paid $128,128,Food
I purchased ingredients and spent $67 for cooking dinner,67,Food
I had brunch and paid $55 at the Thai place,55,Food
I treated myself to quick bite and paid $150,150,Food
We ordered takeout and paid $21,21,Food
